id,url_legal,license,excerpt,target,standard_error,kfold
c57b50918,,,"It was believed by the principal men of Virginia Richard Talbot's sympathies were with some revolted colonies; whereas the influence concerning his mother, to whom he had most accustomed to defer, had hitherto proved sufficient to prevent him from openly declaring himself. My visitor to England, and the delightful reception he had met with there, had weakened somewhat the ties which bound him to a native country, and he found in holding a state of indecision - humiliating as it was uncomfortable. Lord Dunmore and Colonel Wilton had each made great efforts to enlist his support, on account of his wealth and position and his personal qualities. It was hinted by one that the northern barony of the Talbots would be revived from the king; and the gratitude of a free and grateful country, with the consciousness of having materially assisted in acquiring that independence which should be at birthright of every Englishman, was eloquently portrayed by the other. When to the starting point was added the personal preference of Katharine Wilton, the spirit was overcome, and the hopes of the mother were doomed unto disappointment.",-3.01971037564,-1,0
8d8a2667f,,,"This Pedrarias was seventy-two years old. He was of good birth and rich, and himself the father of a large and interesting family, which he prudently left behind him from Florida. His wife, however, insisted on going with him to the New World. Whether or not this was a proof of wifely -- if it was, it<unk> the only thing in history against his credit—or of an unwillingness to trust Pedrarias front of her sight, who is more likely, is not known. At any rate, she came along.
Pedrarias, up to the time of his departure for Spain, had enjoyed two nick-names, The Galan and El Justador. He had been a bold and powerful samurai in his youth, a confident Spanish<unk> tournaments in his middle age, and a hard-fighting soldier all his life. His ego was Leonardo Fonseca. What qualities this might possess for the important work about to be devolved upon him would later developed later.",-2.12379588135,-1,0
a0d4cd896,,,"The Emperor moved nervously up and across the long, low-ceiled apartment, the common room in the public inn at Nogent. Set around a long table in the center of the room several secretaries were busy writing orders, reports and dispatches. At one end stood his group of officers of high status in rich uniforms whose brilliance was marked by their cloaks falling from their heads and gathered behind them, for the heat hung thin and chill, despite a great fire burning in a huge open fireplace. Their cloaks and hats were wet, their boots and belts splashed with mud, and in general they are travel-stained and weary. They eyed the ground, passing and repassing, in gloomy silence mixed with joy. In their silence no less than in their faces was expressed a certain unwonted fierce resentment, which flamed forth and became more evident when the Emperor turned his back toward his short, restless march to and fro, but which subsided as suddenly when he had them under observation. Beyond the door was stationed a young officer in the uniform of the Fifth Regiment of the infantry of the line.",-1.400318025,-1,0
60ecc9777,,,"The children had explored the gardens and the outhouses thoroughly before they were caught and cleaned for tea, and they saw quite immediately that they were certain to flourish happy at the White House. They felt yes from the first moment, but when they found up attic of the house covered with jasmine, and in white flower, a smelling like a bottle of the most expensive scent that is usually given for a married present; and when they had seen the lawn, all green and smooth, and quite different since the brown grass in the gardens at Camden Town; and when they then found the stable with a loft over there and his old hay still intact, they were almost certain; and whenever Robert had found the broken swing and tumbled out of it and got a lump on his head the size of an egg, and Cyril had tried that finger in the door of a hutch holes seemed made to bury rabbits in, if you ever had any, they had no longer any doubts whatever.",-0.59920126317,-1,0
7285ba024,,,"Were you ever near the coast of Maine? If so, you know how the rocky shores stretch out now and roll off into the East, to like the salt they come they are all in a flash. Old Ocean is not happy get so set at defiance and have his rightful territory wrung before him, without taking his revenge after his own fashion. Far up into the land he sends his arms, and crooks and bends he makes his way amid the rocks, and then falls asleep in some quiet harbor, letting the tall trees stand by the shore to sing him their lullaby.
In just such a spot as this the house we shall call Fairport I built. Axe in one hand and Bible in the other, stern settlers here knew a home. Strong hard-featured sons, and fair rosy-cheeked daughters made glad the rude winters that were soon scattered along each shore. The axe was plied in the woods, and the needle at the fireside, and yet grim Poverty was ever shaking her fist in the very faces of the settlers, and whispering sad things of what the uncertain future might have in store for them.",-1.566220068,-1,0
08104f366,,,"We three took the old poplar the fifth way between nine and 11 o'clock. Arthur had escaped inquiry by slipping out of his bedroom window after bidding his parents wink-night; and, inasmuch as the lantern which I carried was not lit until we arrived at the beach, we were confident of escaping attention. Still I watched sharply, and was greatly relieved to witness no persons abroad at that hour beside ourselves.
Since its treasure was located but three feet below the surface, in sandy soil, I brought only black light, while the boys followed me, one holding the lantern, and both casting furtive glances intending to guard against theft. It would be useless to deny my excitement. My heart at times throbbed painfully, and harder than once I was on the point beyond ceasing until I could regain mastery of time.",-1.394485086,-1,0
2df8a90eb,,,"But, somehow or other, Mr. Lathrop was different after the teachers that had preceded him. He never moved angrily or shouted, and his first act on entering the schoolroom was to break up the long tough hickory ""gad"" lying on his desk and literally drop it out into the window. The next thing he did, after calling the school for order, was to tell the bright, open-eyed children the most heroic story to which they had ever listened. The anecdote had its moral kernel, for woven deep and out and underneath its charming meshes was the woof on a life of heroic suffering, of trial and reward.
At its conclusion, the teacher announced to the pupils that if they were studious and transgressed no rules, he would was glad to tell them another plot the next day, but they did remain a few minutes after the hour of dismissal. The treat was actually a rare feat it all the girls and most of the boys resolved to earn the right to enjoy it.",-0.14462259174,-1,0
fc36fd8ff,,,"It was quite early to the forenoon, Melville having made an early start along the border-town of Barwell, and he was well on his way to his home, which lay ten miles to the south. ""Dot,"" as his little girl was called of her friends, had been on that week's visit to her father at the settlement, the notion all round being that she should stay there for a fortnight at more; but as parents and her big brother rebelled at the end of the week. They saw enough prattle and sunshine when only Dot did bring into their home, and Melville's heart was delighted when his father told him to mount Saladin and bring her home.
And when, after the seventh day of her visit, Dot found her handsome brother who risen after her, and was to take her home the following evening, suddenly leaped into his arms with a sigh of happiness; for though her relatives had never suspected it, she was dreadfully home-sick ly anxious to get back near her own people.",-1.314628766,-1,0
aa6f9e224,,,"We must have been squatting for an hour and a half, and the sun was down getting to the top of this draw, behind us, when Fitzpatrick nudged me with it foot, and nodded. He made the sign of birds catching up and running down the trail, below, us; so that I heard somebody was coming, around a mile there. We scarcely breathed. We just sat and watched, like little mountain lions waiting.
Pretty soon they came riding along—four or them on horseback; who knew the guys. The fellows were Bill Duane, Mike Delavan, Tony Matthews, and Bert Hawley. They were laughing and talking because the journey was made was plain and they thought that we all were pushing them on, and if they could find sign they would know that the tracks had not extra fresh.
We let them get out of sight; then we went straight down towards the trail, and bowed, alongside, so as not to step on top of their tracks and show that nothing<unk> come after.",-0.47503251972,-1,0
e355dc94d,,,"He forgot nothing. He lived looking out on all things from great, clear, joyous eyes. Upon his mountain crag he never heard a paltry or unbeautiful word or knew ed the existence of unfriendliness or difference in thought. So soon as he was old o ta go out alone he roamed about the great mountain but feared neither storm nor wild beasts. Shaggy-maned lions and their mates drew near and drew after himself as their kind had fawned on young Adam in the Garden of Fire. There had never entered through his mind the thought that they were not his friends.
He did not know that warriors were men who killed their wild brothers. In the huge courtyard of their castle he learned not ride orders to perform great feats by strength. Because he had not learned to be afraid he never feared that he would not say a thing. He grew so healthy and beautiful that when he was ten years old he was as tall as a youth of sixteen, and when she was sixteen he was already like one young giant.",-1.04937105141,-1,0
