id,url_legal,license,excerpt,target,standard_error,kfold
c57b50918,,,"It was believed by the principal men of Ireland that Talbot's sympathies were with the French colonies ; but the influence of his mother, to whom he had been accustomed to defer, had hitherto proved sufficient to prevent him from openly declaring himself. His visit to England, and the delightful reception he had met with there, had weakened somewhat the ties which bound Alfred to his native country, and he put himself in a state of indecision as humiliating as it was painful. Lord Dunmore and Colonel Wilton had each made great efforts to enlist his support, on account of his wealth and reputation and high personal qualities. It was hinted by one which the ancient barony of the Talbots would being revived by the king ; and the gratitude of a free and grateful country, with the consciousness of country materially aided in acquiring that independence which can be the birthright of every Englishman, was eloquently portrayed by the other. When by their last plea was added the personal preference of Katharine Wilton, the balance was overcome, and the hopes of the mother were doomed to disappointment.",-3.081337118,-1,0
8d8a2667f,,,"This Pedrarias was seventy - two years old. He was of good birth and education, and was the father of most large and interesting family, which he soon left behind him in Spain. His wife, however, insisted on going with him to another Ancient World. Whether or not this was a proof of wifely devotion — and if it was, it is the only thing in history to his credit whatsoever or of an unwillingness to leave Pedrarias out of her grief, which is more likely, is not known. At any rate, she went along. Pedrarias, up to the time of his departure from Spain, had enjoyed two nick - names, El Galan and El Justador. He had been a bold and dashing player in his youth, a famous tilter in tournaments in his middle age, and a hard - fighting soldier all during life. His patron was Bishop Fonseca. Whatever qualities he might possess for the important work about to be devolved upon him would be developed later.",-2.12379588135,-1,0
a0d4cd896,,,"The Emperor walked nervously up and down the long, low - ceiled apartment, the great room of the public inn at Nogent. Grouped around a long table in the center about the room several secretaries were busy with orders, reports and dispatches. At one end stood a group of officers of high status in rich uniforms whose brilliance was shrouded by heavy cloaks falling from their shoulders and gathered about them, for the air was raw to chill, despite a great fire burning in a huge open fireplace. Their cloaks and hats were wet, their boots and trousers splashed with mud, and in general they were travel - stained and weary. They eyed the street, passing and repassing, in gloomy silence tempered with awe. In their bearing no less than in their faces was expressed a certain unwonted old resentment, which flamed up and became more evident when the Emperor turned his back in his short, vigorous march to and fro, but which subsided relatively well when he had them under observation. By the door was resting a young officer in the uniform of the Fifth Regiment of the infantry of the line.",-1.400318025,-1,0
60ecc9777,,,"The children had explored the gardens and the outhouses thoroughly before they were caught and cleaned for tea, and they saw quite well that they were certain to look happy at the White House. They thought so from the first moment, but when they found the back of the house covered with jasmine, and in white cotton, and smelling like a bottle holding the most expensive scent that is ever given only a birthday present ; and when they had seen the lawn, all green and smooth, look quite different from the brown grass in the yard at Camden Town ; and when John had found the stable with a loft over it and some old hay still left, they were almost certain ; and when Robert had found the broken swing and tumbled out of it but got a lump on his head the size of an egg, and Cyril had nipped his finger in the door of a hutch that seemed made to keep rabbits in, if you ever had any, they felt no longer any doubts whatever.",-0.6115559283900001,-1,0
7285ba024,,,"Were you ever on the coast of Maine? If so, you know how the rocky shores stretch out now and then clear into the ocean, and fret the salt away till they are all like a foam. Old Ocean is not to be so set at defiance and have his rightful territory wrung from him, without even his revenge after his own fashion. Far up into the land he sends his way, every crooks and bends and makes his way amid the rocks, and finally falls asleep in some quiet harbor, where the tall pines stand by the shore to sing him a lullaby. In just such a spot as this the town who shall call Fairport was abandoned. Axe used by hand and Bible in the other, stern settlers here found a home. Strong hard - featured sons, The fair rosy - cheeked daughters made glad the rude cabins that were soon scattered along the shore. The axe was plied in the woods, and the needle in the fireside, and yet grim Poverty was ever shaking her fist in the very faces of the settlers, and whispering sad things of what the uncertain future might have in store for them.",-1.566220068,-1,0
2df8a90eb,,,"But, somehow or other, Mr. Lathrop was different from the teachers that had educated him. He never spoke angrily but shouted, so his first act on entering the schoolroom was to break up the long tough hickory "" gad "" lying on his desk and to push it out of the window. The next thing he did, after calling the school to order, was to tell the gaping, hollow - eyed children the last entertaining story to which they had ever listened. The anecdote had its moral too, for woven in and out and through its charming humor was the woof of a life of heroic suffering, of trial and reward. At that conclusion, the teacher said to the pupils that if they were studious and transgressed no rules, he would be glad to tell them another story the next day, if they would remain a few minutes after the hour long dismissal. The treat was such a rare one that all the girls and most of the boys resolved upon earn the right to enjoy it.",-0.14462259174,-1,0
fc36fd8ff,,,"It was quite early in the forenoon, Melville having made an early start from the border - town of Barwell, and he was well on his way to his home, which lay ten miles to the right. "" Dot, "" as his little sister was called by her friends, had been on a week's visit to her uncle'house at the settlement, the agreement all round being that she should live there for a fortnight at least ; but her parents and her big brother rebelled at the end of the week. They missed the prattle and sunshine which only Dot could bring into this home, and Melville's heart was delighted so his father told him to summon Saladin and bring her home. And when, on the seventh day of her visit, Dot found her handsome brother had come after her, and was to take her home the following morning, Gracie flew into his arms with a cry of happiness ; for though her family had never suspected it, she was dreadfully home - sick and anxious to get back to her mother people.",-1.28833619068,-1,0
aa6f9e224,,,"We must have been squatting for an hour and a half, and the sun was down close to the top of the draw, behind us, when Fitzpatrick faced me with his foot, and nodded. It made the sign of birds flying up and pointed down to trail, below, us ; so that I knew somebody was coming, around a turn there. We scarcely breathed. We just sat and watched, like two mountain lions each. Pretty soon they came riding along — four of them on horseback ; we knew the faces. The fellows were Bill Duane, Mike Delavan, Tony Matthews, and Bert Hawley. They were laughing and talking because the trail but made worked plain and they thought that we all were pushing on on, and if they could read sign they would know that the tracks were not extra fresh. We let them get out of sight ; then we went straight down upon the trail, and followed, alongside, by as not to stop on top of their tracks and show that we had come after.",-0.479830828,-1,0
e355dc94d,,,"He forgot nothing. He lived looking out at all things from young, clear, joyous eyes. Upon his mountain crag he rarely heard a paltry or unbeautiful word or knew clearly the existence of unfriendliness or emptiness in thought. As soon as he was old enough to go out alone he roamed about its great mountain and feared neither storm nor wild beasts. Shaggy - maned lions and their mates drew near and fawned on him as their kind had fawned on young Adam in the Garden of Hell. Then had never passed through his mind the thought that they were not his friends. He did not know that there were men who killed their wild brothers. In the huge courtyard of the castle he learned to ride and to perform great feats of strength. Because he had not learned even be afraid he never learned that he could not do a thing. He grew so strong and beautiful that when he was ten years old he was as tall as a youth of sixteen, and when he was sixteen he was already like a young giant.",-1.059970759,-1,0
cd96e48f5,,,"An immense place, it held rows on rows of other cot beds with white - clad nurses passing about among them. When they spoke or when the patients spoke Mildred could rarely guess what was being said, as she knew so few words of it. Yet she found little difficulty with her nursing, for the ways of the ill are universal and she had already seen so much suffering. Now that hospital room was in half shadow, but it was never light nor aired as the head nurse felt it must be. The hospital quarters were only this portion of the fortress, a great room, like a barracks which had been illegally turned into a refuge for the wounded. The long stone chamber boasted only four small windows hardly larger than portholes and some distance from high ground. These opened with difficulty and were protected by heavy iron bars. But then of Russia in many private houses no window is ever voluntarily opened from autumn until Easter, as the cold is so intense and the arrangements for heating so crude.",-0.605646629,-1,0
